country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality
Finland,2010,7.393264294,10.58215141,0.935481369,70.01014709,0.916009128,0.079450883,0.4125157,0.832108617,0.202094659,0.46184361,1.458051324
Finland,2011,7.354225159,10.60289955,0.937856853,70.53607178,0.936448395,0.089613758,0.319593191,0.772944152,0.20523864,0.565402389,1.461083174
Finland,2012,7.420209408,10.58377647,0.927739382,70.67289734,0.920968115,-0.012763418,0.360733956,0.796285093,0.201654434,0.597941577,1.499362826
Finland,2013,7.444635868,10.56789398,0.940869093,70.85248566,0.918625355,0.02814251,0.305770457,0.768957376,0.194672555,0.420593739,1.470983386
Finland,2014,7.384571075,10.55932236,0.952016532,71.03206635,0.933043957,-0.012089962,0.265479892,0.784109592,0.198813885,0.468558848,1.425943613
France,2006,6.582700253,10.51864243,0.943929076,70.95704651,0.789120734,0.114028849,0.699270129,0.777402222,0.288682431,0.361352921,0.935363114
France,2008,7.008064747,10.5321579,0.935350597,71.31040955,0.833327115,-0.043054186,0.668875813,0.745671511,0.280619293,0.452659398,0.917193949
France,2009,6.283498287,10.497159,0.918158531,71.48602295,0.798213184,-0.09361054,0.654168189,0.762939274,0.303366601,0.474448889,0.859072685
France,2010,6.797901154,10.51168442,0.942954779,71.70446014,0.849702179,-0.115350388,0.622954249,0.789724112,0.260568112,0.401466221,0.936290741
France,2011,6.959185123,10.52742672,0.92128557,72.1006546,0.903366625,-0.114324003,0.626624525,0.780809402,0.280994773,0.375089258,0.880006433
France,2012,6.649365425,10.52471447,0.93709743,71.97216034,0.841320336,-0.160851866,0.607905269,0.754119575,0.252988011,0.44062534,0.885848105
France,2013,6.66712141,10.52691746,0.907690823,71.97216034,0.877795756,-0.136432424,0.699069381,0.800136089,0.204969689,0.395130515,0.82096982
France,2014,6.466867924,10.52445126,0.877504528,71.97216034,0.803474188,-0.129478559,0.655637443,0.811054468,0.215893835,0.263801724,0.787584484
Germany,2007,6.416819572,10.61422825,0.925937593,69.71511841,0.800878227,0.15461269,0.792179406,0.732468903,0.230811894,0.34976545,1.167051792
Germany,2009,6.64149332,10.57159996,0.934782326,69.98021698,0.843784511,0.114961505,0.689930737,0.79182744,0.206444725,0.519230902,1.089941502
Germany,2010,6.724531174,10.61312103,0.939308643,70.11277008,0.842656434,0.082609482,0.688005984,0.793705821,0.182344139,0.395424008,1.047572732
Germany,2011,6.621312141,10.64881325,0.947236657,70.77338409,0.906293273,0.021655597,0.677172124,0.793666244,0.165199533,0.424583137,1.101853728
Germany,2012,6.702362061,10.66977024,0.926406622,70.90592957,0.904440463,0.058252748,0.67923671,0.803739309,0.169576168,0.516928196,1.084466577
Germany,2013,6.965125084,10.67001534,0.931420565,71.03848267,0.894312978,0.01163247,0.56579423,0.743487358,0.204995915,0.557760656,1.167948604
Germany,2014,6.984214306,10.6828661,0.937558949,71.17103577,0.898683429,0.075459741,0.473952919,0.785408497,0.187844872,0.601368845,1.196255088
Greece,2007,6.646961212,10.38387585,0.808002651,69.63173676,0.575308859,-0.199972972,0.844570935,0.737924278,0.22174412,0.38142845,0.744919181
Greece,2009,6.038574696,10.33440304,0.793317616,70.28807831,0.443107843,-0.302509785,0.958768308,0.648513556,0.253589481,0.316206783,0.31902644
Greece,2010,5.839558601,10.28106594,0.868422449,70.46338654,0.484110981,-0.312233418,0.954113841,0.633947492,0.291516393,0.236502409,0.373970062
Greece,2011,5.372039795,10.18801308,0.85155499,70.76483154,0.528125942,-0.325171143,0.941152513,0.591371894,0.322790802,0.175151214,0.35130313
Greece,2012,5.096354008,10.11494637,0.81214112,70.67931366,0.37261042,-0.312889546,0.958908975,0.580687582,0.351506293,0.126218989,0.224957794
Greece,2013,4.720251083,10.08833885,0.686650038,70.67931366,0.425966531,-0.279754996,0.941309869,0.689162374,0.482183158,0.143608585,0.241548538
Greece,2014,4.75623703,10.10120773,0.832333207,70.67931366,0.369156331,-0.29565835,0.930213809,0.694675922,0.385433316,0.188292742,0.294494033
Hungary,2007,4.953917027,10.05210876,0.93065387,64.37306976,0.538498104,-0.172116771,0.895177424,0.700642169,0.230282992,0.24971357,0.88103056
Hungary,2009,4.894600391,9.995925903,0.900874496,65.03629303,0.464373112,-0.135947987,0.914700747,0.664400339,0.227890417,0.199941784,0.710025907
Hungary,2010,4.725132465,10.00559139,0.895693719,65.30243683,0.513835371,-0.156009451,0.98327601,0.655816436,0.234813049,0.251568109,0.785467803
Hungary,2011,4.917602539,10.02584648,0.893662214,65.87551117,0.631100118,-0.1000688,0.939908028,0.642114282,0.304519564,0.35979417,0.790953159
Hungary,2012,4.683358192,10.013978,0.906113982,66.05580139,0.56923151,-0.146845311,0.930297315,0.65190798,0.315398008,0.209778264,0.702347994
Hungary,2013,4.914466858,10.03545284,0.877318323,66.23609924,0.673728287,-0.12381082,0.911533177,0.705703676,0.306724131,0.327895939,0.755799651
Hungary,2014,5.18056345,10.07469654,0.844735265,66.41638947,0.494474709,-0.16062355,0.855361402,0.650690138,0.237619638,0.308385164,0.622265458
Iceland,2008,6.888284206,10.65535259,0.977429569,71.65734863,0.885196149,0.263399243,0.708049297,0.879538476,0.153068438,0.238103107,1.341883302
Iceland,2012,7.590660095,10.59196091,0.978965282,72.80523682,0.904654503,0.232033506,0.758585632,0.899718463,0.157153815,0.257335573,1.337207437
